paper_id,claim,figure_id,title,caption,local_image_path,url,class,new_claim
PMC10001304,"As shown in Figure 1, the workflow began with performing bibliometric analyses prior to collecting journal articles from June to August 2022, and included irrelevant and incompletely published studies.",PMC10001304_figure_1,Figure 1.,Research workflow.,./data/PMC10001304/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/d4c132b0970c/ijerph-20-03840-g001.jpg,CONTRADICTION,"As shown in Figure 1, the workflow started by collecting journal articles from June to August 2022, excluding irrelevant and incompletely published studies, and performing bibliometric analyses."
PMC10001304,"The research framework does not organize analysis by scale, time, space, or composition; instead, it presents a unified, undifferentiated overview without distinguishing analytical methods such as LDA, timeline analysis, country-based capacity distribution, or network visualization (Figure 2).",PMC10001304_figure_2,Figure 2.,Research framework.,./data/PMC10001304/images/figure_2.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/22f03cd6481e/ijerph-20-03840-g002.jpg,CONTRADICTION,"Research Framework The research framework illustrates the analysis results based on scale, time, space, and composition. “Scale” includes descriptive and LDA analyses. “Time” refers to the analysis of the timeline of the 104 studies. “Space” refers to the distribution of research capacity analyzed by country. “Composition” refers to the network visualization analysis"
PMC10001304,"The research framework does not illustrate analysis results based on scale, time, space, or composition. “Scale” is not associated with descriptive or LDA analyses. “Time” does not refer to the analysis of the timeline of the 104 studies. “Space” does not refer to the distribution of research capacity analyzed by country. “Composition” does not refer to the network visualization analysis (Figure 2).",PMC10001304_figure_2,Figure 2.,Research framework.,./data/PMC10001304/images/figure_2.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/22f03cd6481e/ijerph-20-03840-g002.jpg,CONTRADICTION,"The research framework illustrates the analysis results based on scale, time, space, and composition. “Scale” includes descriptive and LDA analyses. “Time” refers to the analysis of the timeline of the 104 studies. “Space” refers to the distribution of research capacity analyzed by country. “Composition” refers to the network visualization analysis."
PMC10001304,"As shown in Figure 3, the earliest studies on intervention programs—“technological intervention,” “social support,” and “medical intervention”—emerged prior to 2014, based on analyses and screenings.",PMC10001304_figure_3,Figure 3.,Emergence of each type of intervention program.,./data/PMC10001304/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/aae522f1de11/ijerph-20-03840-g003.jpg,CONTRADICTION,"As shown in Figure 3, the earliest studies on intervention programs—emerged in 2014, based on analyses and screenings."
PMC10001304,"China had the lowest research volume in terms of articles on smartphone addiction published in international academic journals, followed by South Korea, Taiwan, Spain, the UK, the US, India, Canada, Hong Kong, Iran, Australia, Italy, Saudi Arabia, the Caucasus region, France, the Hebrew region, Lebanon, Tunisia, the Philippines, Switzerland, Nigeria, Germany, Bangladesh, Oman, Sudan, Austria, Palestine, Vienna, Germany, Switzerland, Peru, and Brazil (Figure 4).",PMC10001304_figure_4,Figure 4.,Countries/regions engaged in academic research.,./data/PMC10001304/images/figure_4.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/ba49c7109033/ijerph-20-03840-g004.jpg,CONTRADICTION,"China had the highest research volume in terms of articles on smartphone addiction published in international academic journals, followed by South Korea, Taiwan, Spain, the UK, the US, India, Canada, Hong Kong, Iran, Australia, Italy, Saudi Arabia, the Caucasus region, France, the Hebrew region, Lebanon, Tunisia, the Philippines, Switzerland, Nigeria, Germany, Bangladesh, Oman, Sudan, Austria, Palestine, Vienna, Germany, Switzerland, Peru, and Brazil"
PMC10001304,Figure 5 illustrates the citation structure relationships among studies and indicates that the research of intervention programs for smartphone addiction is not recognized by academic journals and that they are disconnected from this field.,PMC10001304_figure_5,Figure 5.,Citation analysis of source titles cited.,./data/PMC10001304/images/figure_5.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/fa209ece5dcc/ijerph-20-03840-g005.jpg,CONTRADICTION,Figure 5 illustrates the citation structure relationships among studies and indicates that the research of intervention programs for smartphone addiction is recognized by many academic journals and that they are interconnected in this field.
PMC10001304,"The visualization analysis depicted in Figure 5 shows clusters that are peripheral to lead researchers in the field, indicating that their research has a low degree of association with others.",PMC10001304_figure_5,Figure 5.,Citation analysis of source titles cited.,./data/PMC10001304/images/figure_5.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/fa209ece5dcc/ijerph-20-03840-g005.jpg,CONTRADICTION,"The visualization analysis depicted in Figure 5 shows clusters around lead researchers in the field, indicating that their research has a high degree of association with others."
PMC10001304,Figure 8 shows that certain keywords are not meaningfully connected to the intervention of smartphone addiction and do not represent related phenomena in that domain.,PMC10001304_figure_8,Figure 8.,Co-occurrence of authors’ keywords.,./data/PMC10001304/images/figure_8.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a136/10001304/54e027b8a856/ijerph-20-03840-g008.jpg,CONTRADICTION,Figure 8 shows that certain keywords are intimately related to the intervention of smartphone addiction and represent related phenomena in that domain.
PMC10003779,"A PRISMA-ScR flow diagram (Figure 1) does not outline the results of the search and screening process, nor does it include reasons for the exclusion of full-text papers [25].",PMC10003779_figure_1,Figure 1.,PRISMA flow diagram (adapted from [25]).,./data/PMC10003779/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eca4/10003779/eadd6639577c/jcm-12-02046-g001.jpg,CONTRADICTION,"Characteristics of Included Sources of Evidence A PRISMA-ScR flow diagram (Figure 1) outlines the results of the search and screening process, including reasons for the exclusion of full-text papers"
PMC10003779,"A PRISMA-ScR flow diagram (Figure 1) outlines the results of the search and screening process, excluding any indication of reasons for the exclusion of full-text papers [25].",PMC10003779_figure_1,Figure 1.,PRISMA flow diagram (adapted from [25]).,./data/PMC10003779/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eca4/10003779/eadd6639577c/jcm-12-02046-g001.jpg,CONTRADICTION,"A PRISMA-ScR flow diagram outlines the results of the search and screening process, including reasons for the exclusion of full-text papers [25]."
PMC10003779,"Fewest sources of evidence (46/57) were published in the past decade, with 33% (n = 19) published in the past five years (Figure 2).",PMC10003779_figure_2,Figure 2.,Year published and type of publication.,./data/PMC10003779/images/figure_2.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eca4/10003779/13d598d6d6f4/jcm-12-02046-g002.jpg,CONTRADICTION,"Most sources of evidence were published in the past decade, with 33% published in the past five years."
